Insumo ;Emissão ;Und.;Qtd.;Valot total;Sectorization
"ARRUELA DE ALUMINIO 3/4""";10/09/2020;pc;1;R$ 0,41;Electric installation
TERMINAL COPEL CURTO CABO FLEX 10MM;10/09/2020;und.;14;R$ 95,34;Electric installation
ELETRODUTO PVC 1;10/09/2020;und.;2;R$ 12,24;Electric installation
FITA ISOLANTE 10M X 19MM AZUL;25/09/2020;und.;1;R$ 3,50;Electric installation
ELETRODUTO PVC 3/4;10/09/2020;und.;1,5;R$ 5,79;Electric installation
CABO DE COBRE NU 50MM2 NORMATIZADO;25/09/2020;m;260;R$ 6.900,40;Electric installation
"K DUTO KANADUTO 1"" CINZA";21/10/2020;m;250;R$ 367,50;Electric installation
FITA ISOLANTE 10M X 19MM BRANCA - 1 0 FOXLUX;25/09/2020;rl;1;R$ 3,50;Electric installation
FITA ISOLANTE 10MX19MM VERMELHA;25/09/2020;rl;1;R$ 3,50;Electric installation
"K DUTO KANADUTO 2"" CINZA";21/10/2020;m;450;R$ 1.516,50;Electric installation
CABO FLEXIVEL 2,5MM2 PRETO - CORFIO;28/09/2020;m;100;R$ 197,00;Electric installation
FITA ISOLANTE PRETA 20M X 19MM - 3 0 PRYMIAN;25/09/2020;rl ;3;R$ 20,10;Electric installation
ABRACADEIRA P/ POSTE UNIVERSAL - 2 0 JANDRIGUE;10/09/2020;und.;2;R$ 21,34;Electric installation
CINTA LISA GALVANIZADA 18MM C/ 10 MT - JANDRIGUE;10/09/2020;rl;5;R$ 13,80;Electric installation
FITA ISOLANTE COLORIDA 5M AZUL - ADERE;10/09/2020;und.;1;R$ 2,48;Electric installation
FITA ISOLANTE COLORIDA 5M BRANCA - 1 0 ADERE;10/09/2020;und.;1;R$ 2,48;Electric installation
FITA ISOLANTE COLORIDA 5M VERMELHA - 1 0 ADERE;10/09/2020;und.;1;R$ 2,48;Electric installation
CAIXA DE PASSAGEM DE EMBUTIR 15X15CM 1 0 - JORDAO;10/09/2020;und.;1;R$ 10,30;Electric installation
"MANGUEIRA CORRUG. 3/4"" CZ (25MM) - KANAFLEX";16/10/2020;mt;250;R$ 457,50;Electric installation
"MANGUEIRA CORRUG. 4"" CZ (110MM) - KANAFLEX";16/10/2020;mt;220;R$ 2.376,00;Electric installation
"MANGUEIRA CORRUG. 2"" CZ (63MM) - KANAFLEX ";16/10/2020;m;1460;R$ 6.818,20;Electric installation
"BUCHA DE ALUMINIO 3/4""";10/09/2020;und.;1;R$ 0,64;Electric installation
"BUCHA DE ALUMINIO 1""";10/09/2020;und.;3;R$ 2,61;Electric installation
"ARRUELA DE ALUMINIO 1""";10/09/2020;und.;3;R$ 1,92;Electric installation
CABO DE COBRE NU - 16 MM2;10/09/2020;m;2;R$ 27,48;Electric installation
DISJUNTOR TRIPOLAR 50A;10/09/2020;und.;1;R$ 49,41;Electric installation
LUVA PVC SOLDADEL LR BUCHA DE LATAO 1 0 25MM X 3/4 - AMANCO;28/09/2020;und.;1;R$ 4,95;Hydrosanitary
Teste;16/03/2020;und.;1;R$ 20.000,00;Hydrosanitary
